Brand,FB Handle,Username,Post Caption,Post date time,Reactions,Comments,Shares,Post url,Views (blank for non video posts)
"0    APT
Name: brand, dtype: object","0    APTouring
Name: fb_handle, dtype: object",APT,"The perfect way to get to know a new destination is through its cuisine. On a visit to Japan, plenty of local delicacies spring to mind but at the top of your list should be mount-watering Okonmiyaki. ","0    30/07/2023 20:05
Name: post_date_time, dtype: object",3,No comments,No shares,https://facebook.com/APTouring/posts/309119444809524,
"1    APT
Name: brand, dtype: object","1    APTouring
Name: fb_handle, dtype: object",APT,Postcards from Canada!,"1    28/07/2023 19:50
Name: post_date_time, dtype: object",52,15 comments,No shares,https://facebook.com/APTouring/posts/308125654908903,
"2    APT
Name: brand, dtype: object","2    APTouring
Name: fb_handle, dtype: object",APT,"The enchanting world of ice and water awaits.  Each day experience the beauty and excitement of the great White Continent. Where jaw-dropping, once-in-a-lifetime moments are daily occurrences. ","2    26/07/2023 19:00
Name: post_date_time, dtype: object",22,No comments,2 shares,https://facebook.com/APTouring/posts/307155171672618,
"3    APT
Name: brand, dtype: object","3    APTouring
Name: fb_handle, dtype: object",APT,Why spend another winter in Australia when you could be cruising the Douro?,"3    24/07/2023 20:00
Name: post_date_time, dtype: object",19,1 comment,2 shares,https://facebook.com/APTouring/posts/306252225096246,
"4    APT
Name: brand, dtype: object","4    APTouring
Name: fb_handle, dtype: object",APT,A brand new Signature Experience in Montreal for 2024!,"4    23/07/2023 18:00
Name: post_date_time, dtype: object",544,5 comments,20 shares,https://facebook.com/APTouring/posts/305739308480871,
"5    APT
Name: brand, dtype: object","5    APTouring
Name: fb_handle, dtype: object",APT,The gateway to South Australia's Outback. ,"5    22/07/2023 18:50
Name: post_date_time, dtype: object",28,2 comments,2 shares,https://facebook.com/APTouring/posts/305286185192850,
"6    APT
Name: brand, dtype: object","6    APTouring
Name: fb_handle, dtype: object",APT,"Postcards from Miltenberg. Thank you for sharing, Deborah.","6    21/07/2023 18:00
Name: post_date_time, dtype: object",48,12 comments,2 shares,https://facebook.com/APTouring/posts/304774385244030,
"7    APT
Name: brand, dtype: object","7    APTouring
Name: fb_handle, dtype: object",APT,"Live the quintessential Italian life, delight in an afternoon of fresh antipasti, locally made olive oils and regional wines in the beautiful town of San Gimignano. ","7    20/07/2023 20:50
Name: post_date_time, dtype: object",35,4 comments,No shares,https://facebook.com/APTouring/posts/304342735287195,
"8    APT
Name: brand, dtype: object","8    APTouring
Name: fb_handle, dtype: object",APT,Equal in beauty and historical significance Prague's Old Town Square is the heart of this lively city. ,"8    19/07/2023 19:40
Name: post_date_time, dtype: object",1.4K,34 comments,25 shares,https://facebook.com/APTouring/posts/303810662007069,
"9    APT
Name: brand, dtype: object","9    APTouring
Name: fb_handle, dtype: object",APT,A sparkling jewel awaits below the island of Bisevo in Croatia.,"9    18/07/2023 18:45
Name: post_date_time, dtype: object",14,5 comments,No shares,https://facebook.com/APTouring/posts/303297612058374,
"10    APT
Name: brand, dtype: object","10    APTouring
Name: fb_handle, dtype: object",APT,"Iconic cities steeped in history, quaint riverside towns and dazzling coastlines - there's no end to the delights of Europe. There's an unforgettable discovery for every traveller with APT. ","10    17/07/2023 18:25
Name: post_date_time, dtype: object",38,No comments,3 shares,https://facebook.com/APTouring/posts/302787028776099,
"11    APT
Name: brand, dtype: object","11    APTouring
Name: fb_handle, dtype: object",APT,"Ancient rocks, refreshing swimming holes and showering waterfalls make up the beautiful Karijini National Park. ","11    15/07/2023 18:25
Name: post_date_time, dtype: object",27,2 comments,4 shares,https://facebook.com/APTouring/posts/301743095547159,
"12    APT
Name: brand, dtype: object","12    APTouring
Name: fb_handle, dtype: object",APT,"From luxurious hotels to memorable stays in the wilderness, we are committed to ensuring every day of touring ends in comfort, no matter how remote your travels take you.","12    14/07/2023 20:25
Name: post_date_time, dtype: object",47,1 comment,No shares,https://facebook.com/APTouring/posts/301284925592976,
"13    APT
Name: brand, dtype: object","13    APTouring
Name: fb_handle, dtype: object",APT,"Robyn P, a guest on our 19-day Rockies Explorer and Alaska Cruise, shares her thoughts after returning from her trip.","13    13/07/2023 19:00
Name: post_date_time, dtype: object",26,No comments,2 shares,https://facebook.com/APTouring/posts/300761102312025,
"14    APT
Name: brand, dtype: object","14    APTouring
Name: fb_handle, dtype: object",APT,Standing proud on the banks of the Nile River are echoes of an ancient civilisation.,"14    11/07/2023 21:00
Name: post_date_time, dtype: object",867,18 comments,15 shares,https://facebook.com/APTouring/posts/299832095738259,
"15    APT
Name: brand, dtype: object","15    APTouring
Name: fb_handle, dtype: object",APT,"Immerse yourself in nature's wonders as you cruise along the mighty Ord River in the Kimberley, witnessing the captivating ecological marvels born from its dual damming. ","15    10/07/2023 19:00
Name: post_date_time, dtype: object",46,4 comments,4 shares,https://facebook.com/APTouring/posts/299287322459403,
"16    APT
Name: brand, dtype: object","16    APTouring
Name: fb_handle, dtype: object",APT,"Milford Sound, known as Piopiotahi in the Māori dialect, has been attracting visitors for thousands of years.","16    8/07/2023 20:00
Name: post_date_time, dtype: object",35,6 comments,No shares,https://facebook.com/APTouring/posts/298175835903885,
"17    APT
Name: brand, dtype: object","17    APTouring
Name: fb_handle, dtype: object",APT,See for yourself why the beautiful Rhine River has inspired writers and artists for centuries on our Magnificent Europe Cruise. ,"17    7/07/2023 19:00
Name: post_date_time, dtype: object",49,17 comments,No shares,https://facebook.com/APTouring/posts/297564232631712,
"18    APT
Name: brand, dtype: object","18    APTouring
Name: fb_handle, dtype: object",APT,Introducing Africa! ,"18    5/07/2023 20:01
Name: post_date_time, dtype: object",33,7 comments,4 shares,https://facebook.com/APTouring/posts/296421022746033,
"19    APT
Name: brand, dtype: object","19    APTouring
Name: fb_handle, dtype: object",APT,"Just 1 day to go until we reveal our new tours, but can you guess the destination?","19    4/07/2023 19:00
Name: post_date_time, dtype: object",35,16 comments,No shares,https://facebook.com/APTouring/posts/295798746141594,
"20    APT
Name: brand, dtype: object","20    APTouring
Name: fb_handle, dtype: object",APT,Can you guess which continent APT are travelling to next?,"20    3/07/2023 19:00
Name: post_date_time, dtype: object",12,2 comments,No shares,https://facebook.com/APTouring/posts/295196792868456,
"21    APT
Name: brand, dtype: object","21    APTouring
Name: fb_handle, dtype: object",APT,3 days to go! We have a very exciting destination going live in just 3 days. Can you guess the destination?,"21    2/07/2023 18:00
Name: post_date_time, dtype: object",28,6 comments,No shares,https://facebook.com/APTouring/posts/294603742927761,
"22    APT
Name: brand, dtype: object","22    APTouring
Name: fb_handle, dtype: object",APT,"With a French heart and a distinctive Canadian charm, Montreal is the perfect destination for art and history lovers to explore.","22    1/07/2023 19:00
Name: post_date_time, dtype: object",19,4 comments,No shares,https://facebook.com/APTouring/posts/294031062985029,
"23    APT
Name: brand, dtype: object","23    APTouring
Name: fb_handle, dtype: object",APT,"Iceland promises sparkling glaciers, icefields stretching for miles, powerful waterfalls and impressive landscapes dotted with impressive geological wonders.  ","23    30/06/2023 20:00
Name: post_date_time, dtype: object",10,1 comment,No shares,https://facebook.com/APTouring/posts/293496416371827,
"24    APT
Name: brand, dtype: object","24    APTouring
Name: fb_handle, dtype: object",APT,"Canada in springtime is beautiful, but in winter, it transforms into a wonderland of snow-capped mountains,  glistening ice lakes and crisp air. ","24    29/06/2023 18:00
Name: post_date_time, dtype: object",1.3K,53 comments,35 shares,https://facebook.com/APTouring/posts/292944599760342,
"25    APT
Name: brand, dtype: object","25    APTouring
Name: fb_handle, dtype: object",APT,"This week's #UnmissableLandmark is Zurich Main Station, specifically at Christmas time when it's transformed into Europe's largest indoor festive market.","25    28/06/2023 20:00
Name: post_date_time, dtype: object",13,1 comment,No shares,https://facebook.com/APTouring/posts/292388246482644,
"26    APT
Name: brand, dtype: object","26    APTouring
Name: fb_handle, dtype: object",APT,"A cruise to Alaska is thrilling, enriching and eye-opening all at once. ","26    26/06/2023 19:00
Name: post_date_time, dtype: object",34,5 comments,3 shares,https://facebook.com/APTouring/posts/291261369928665,
"27    APT
Name: brand, dtype: object","27    APTouring
Name: fb_handle, dtype: object",APT,"Winter in Europe is divine, especially when you're on holiday.","27    25/06/2023 21:00
Name: post_date_time, dtype: object",21,No comments,7 shares,https://facebook.com/APTouring/posts/290787203309415,
"28    APT
Name: brand, dtype: object","28    APTouring
Name: fb_handle, dtype: object",APT,It's time to discover the vast brilliance of Antarctica on board a floating oasis of pure luxury. ,"28    24/06/2023 18:00
Name: post_date_time, dtype: object",18,No comments,No shares,https://facebook.com/APTouring/posts/290201940034608,
"29    APT
Name: brand, dtype: object","29    APTouring
Name: fb_handle, dtype: object",APT,Wachau Valley. ,"29    22/06/2023 18:00
Name: post_date_time, dtype: object",902,45 comments,18 shares,https://facebook.com/APTouring/posts/289209296800539,
"30    APT
Name: brand, dtype: object","30    APTouring
Name: fb_handle, dtype: object",APT,What says Barcelona more than Gaudí?,"30    20/06/2023 20:00
Name: post_date_time, dtype: object",12,No comments,No shares,https://facebook.com/APTouring/posts/288272393560896,
"31    APT
Name: brand, dtype: object","31    APTouring
Name: fb_handle, dtype: object",APT,"Have you heard of APT's charitable fund OneTomorrow?APT's co-owner and Director Rob McGeary shares our mission, the charities we work closely with and what you can do to help. https://www.onetomorrow.com.au/…","31    19/06/2023 18:01
Name: post_date_time, dtype: object",7,No comments,No shares,https://facebook.com/APTouring/posts/287764576945011,264 views
"32    APT
Name: brand, dtype: object","32    APTouring
Name: fb_handle, dtype: object",APT,"Reaching a maximum speed of 330 km/h, the KTX fast train will take you from Seoul to Jeonju, a city famous for its food scene.","32    18/06/2023 18:00
Name: post_date_time, dtype: object",119,5 comments,4 shares,https://facebook.com/APTouring/posts/287246176996851,
"33    APT
Name: brand, dtype: object","33    APTouring
Name: fb_handle, dtype: object",APT,Prepare to step back in time in the long-awaited Grand Egyptian Museum. This highly anticipated marvel is set to become the world's largest archaeological museum upon its grand opening later this year.,"33    16/06/2023 20:00
Name: post_date_time, dtype: object",20,1 comment,No shares,https://facebook.com/APTouring/posts/286252340429568,
"34    APT
Name: brand, dtype: object","34    APTouring
Name: fb_handle, dtype: object",APT,Embark on an unforgettable journey aboard the Rocky Mountaineer in Canada's breathtaking landscapes. ,"34    15/06/2023 20:00
Name: post_date_time, dtype: object",41,10 comments,No shares,https://facebook.com/APTouring/posts/285640503824085,
"35    APT
Name: brand, dtype: object","35    APTouring
Name: fb_handle, dtype: object",APT,A spectacular journey awaits onboard your Holland America Line cruise from Vancouver to Anchorage. ,"35    14/06/2023 21:00
Name: post_date_time, dtype: object",44,16 comments,3 shares,https://facebook.com/APTouring/posts/285052257216243,
"36    APT
Name: brand, dtype: object","36    APTouring
Name: fb_handle, dtype: object",APT,Are you ready to journey the Wild West?  Embark on an incredible adventure to explore America's western states in style with a unique land and rail journey!,"36    13/06/2023 20:00
Name: post_date_time, dtype: object",18,3 comments,No shares,https://facebook.com/APTouring/posts/284497293938406,
"37    APT
Name: brand, dtype: object","37    APTouring
Name: fb_handle, dtype: object",APT,Our tour guides are having a fabulous time showing our guests some of the most incredible places in the Kimberley. ,"37    12/06/2023 19:00
Name: post_date_time, dtype: object",48,12 comments,No shares,https://facebook.com/APTouring/posts/283886963999439,
"38    APT
Name: brand, dtype: object","38    APTouring
Name: fb_handle, dtype: object",APT,A world of travel awaits. ,"38    11/06/2023 18:00
Name: post_date_time, dtype: object",11,No comments,No shares,https://facebook.com/APTouring/posts/283276217393847,
"39    APT
Name: brand, dtype: object","39    APTouring
Name: fb_handle, dtype: object",APT,Canada and Alaska's spectacular landscapes and scenery will play in your mind forever. ,"39    9/06/2023 18:02
Name: post_date_time, dtype: object",20,2 comments,No shares,https://facebook.com/APTouring/posts/282066974181438,
"40    APT
Name: brand, dtype: object","40    APTouring
Name: fb_handle, dtype: object",APT,"A firm favourite of APT co-owner Rob McGeary, Cygnet Bay is one of Western Australia's most remarkable Outback retreats.","40    8/06/2023 20:00
Name: post_date_time, dtype: object",31,6 comments,2 shares,https://facebook.com/APTouring/posts/281503167571152,
"41    APT
Name: brand, dtype: object","41    APTouring
Name: fb_handle, dtype: object",APT,Explore Outback Australia in 2023. Discover the secrets of Outback Australia's ancient and sacred land. ,"41    7/06/2023 18:01
Name: post_date_time, dtype: object",13,No comments,No shares,https://facebook.com/APTouring/posts/280866270968175,
"42    APT
Name: brand, dtype: object","42    APTouring
Name: fb_handle, dtype: object",APT,"With steep cliffs rising from the turquoise Tyrrhenian Sea, the Amalfi Coast is one of the most scenic stretches of coastline in Italy. The brightly coloured buildings dotted across the cliffs are the perfect backdrop for an afternoon of exploration.","42    6/06/2023 19:00
Name: post_date_time, dtype: object",15,No comments,No shares,https://facebook.com/APTouring/posts/280314457690023,
"43    APT
Name: brand, dtype: object","43    APTouring
Name: fb_handle, dtype: object",APT,"Discover the rich cultures, tantalising flavours and mesmerising countryside of Cambodia and Vietnam while cruising along the tranquil waters of the magical Mekong River on our brand-new luxury ship, the Mekong Serenity.","43    5/06/2023 21:00
Name: post_date_time, dtype: object",8,No comments,No shares,https://facebook.com/APTouring/posts/279844097737059,
"44    APT
Name: brand, dtype: object","44    APTouring
Name: fb_handle, dtype: object",APT,"The warm sand, beaming sunshine and the salty ocean air, the perfect cocktail for your next holiday escape.  Which beach will you be visiting next?Discover APT.https://www.aptouring.com.au/…","44    4/06/2023 20:01
Name: post_date_time, dtype: object",11,No comments,No shares,https://facebook.com/APTouring/posts/279258241128978,365 views
"45    APT
Name: brand, dtype: object","45    APTouring
Name: fb_handle, dtype: object",APT,"Regularly voted as one of the best beaches in the world, its not hard to understand why as you take your first step onto the warm white sand of Turqousie Bay. ","45    2/06/2023 19:00
Name: post_date_time, dtype: object",29,1 comment,No shares,https://facebook.com/APTouring/posts/278172931237509,
"46    APT
Name: brand, dtype: object","46    APTouring
Name: fb_handle, dtype: object",APT,"APT's co-owner Rob, shares his top Kimberley travel experiences, including a visit to Cape Leveque and APT Kimberley Wilderness Lodge stays.","46    31/05/2023 19:00
Name: post_date_time, dtype: object",15,No comments,No shares,https://facebook.com/APTouring/posts/277062028015266,
"47    APT
Name: brand, dtype: object","47    APTouring
Name: fb_handle, dtype: object",APT,"The island town of Tigre is just north of Buenos Aires and is home to one of the world's largest deltas, Parana Delta. Ride on a traditional boat through the many canals and rivers that snake through the wildlife rich wetlands and catch a glimpse of the river culture. ","47    30/05/2023 19:00
Name: post_date_time, dtype: object",18,No comments,No shares,https://facebook.com/APTouring/posts/276508054737330,
"48    APT
Name: brand, dtype: object","48    APTouring
Name: fb_handle, dtype: object",APT,"An experience like no other, a helicopter flight over the impressive Mitchell Falls. This four-tiered natural wonder is best seen from the sky, where you can appreciate the grandeur and beauty of one of the most spectacular waterfalls in Australia.","48    29/05/2023 20:00
Name: post_date_time, dtype: object",892,37 comments,40 shares,https://facebook.com/APTouring/posts/276023811452421,
"49    APT
Name: brand, dtype: object","49    APTouring
Name: fb_handle, dtype: object",APT,Visit the Galapagos Islands by yacht and venture to visit the stunning and otherworldly Bartolome Island. Discover fascinating marine and land birds and explore the bay’s volcanic geology.,"49    28/05/2023 20:00
Name: post_date_time, dtype: object",19,No comments,2 shares,https://facebook.com/APTouring/posts/275488551505947,
"50    APT
Name: brand, dtype: object","50    APTouring
Name: fb_handle, dtype: object",APT,"Take in the tranquil surrounds of the Gordon River whilst onboard the luxurious Spirit of the Wild. You'll be taken on a journey to historical and remarkable landmarks including Macquarie Harbour, Hells Gates, Heritage Landing and Sarah Island. ","50    27/05/2023 19:00
Name: post_date_time, dtype: object",20,2 comments,No shares,https://facebook.com/APTouring/posts/274877781567024,
"51    APT
Name: brand, dtype: object","51    APTouring
Name: fb_handle, dtype: object",APT,"Commanding panoramic views over the Jeker Valley, Château Neercanne has a rich culture and culinary tradition that will have the pleasure of experiencing on APT's Western Front Explorer river cruise. ","51    26/05/2023 20:00
Name: post_date_time, dtype: object",17,5 comments,No shares,https://facebook.com/APTouring/posts/274300178291451,
"52    APT
Name: brand, dtype: object","52    APTouring
Name: fb_handle, dtype: object",APT,"Take a seat on the top deck of the Longreach Explorer and get ready to take in the 360-degree sweeping ricer and floodplain views. Listen out for the captain as they share stories of the river, its wildlife and indigenous heritage all whilst watching the sunset in the distance.  Graham Werner Photography","52    25/05/2023 19:00
Name: post_date_time, dtype: object",16,3 comments,2 shares,https://facebook.com/APTouring/posts/273746848346784,
"53    APT
Name: brand, dtype: object","53    APTouring
Name: fb_handle, dtype: object",APT,"Your destination is the heavenly Cloudy Bay Winery in the Marlborough wine region on New Zealand's South Island. Your day will be spent indulging on local produce and sipping on Cloudy Bay wines whilst sitting in the sunshine that beams through the  stunning, architecturally designed Treehouse building.","53    24/05/2023 19:00
Name: post_date_time, dtype: object",18,No comments,2 shares,https://facebook.com/APTouring/posts/273215475066588,
"54    APT
Name: brand, dtype: object","54    APTouring
Name: fb_handle, dtype: object",APT,"Canada and Alaska offers its guests the best of both worlds, with plenty of relaxation and adventure on every journey. Whether you're riding the Rocky Mountaineer, joining a Blue River Safari or watching the world go by from the comfort of your hotel room looking over Lake Louise. ","54    23/05/2023 19:46
Name: post_date_time, dtype: object",24,11 comments,2 shares,https://facebook.com/APTouring/posts/272724835115652,
"55    APT
Name: brand, dtype: object","55    APTouring
Name: fb_handle, dtype: object",APT,"As far as adventures go, stepping foot on the Antarctic peninsula is an incomparable experience.On your Antarctic adventure explore ice-dotted bays by zodiac, cruise the gateway to Antarctica - Drake's passage and witness the incredible wildlife that call this continent home. ","55    22/05/2023 18:00
Name: post_date_time, dtype: object",28,4 comments,2 shares,https://facebook.com/APTouring/posts/272192701835532,
"56    APT
Name: brand, dtype: object","56    APTouring
Name: fb_handle, dtype: object",APT,"Get a taste for adventure as you make your way across the Cambodian countryside on a quadbike. Traverse past rice fields, through small villages and witness the beauty of Cambodia from a whole new perspective.","56    21/05/2023 18:00
Name: post_date_time, dtype: object",20,4 comments,No shares,https://facebook.com/APTouring/posts/271611458560323,
"57    APT
Name: brand, dtype: object","57    APTouring
Name: fb_handle, dtype: object",APT,"The home of luxury merino wool, Anlaby Station and it's enviable gardens and homestead are a beloved stop on APT's South Australia Flinders Ranges and Wineries tour.","57    19/05/2023 19:00
Name: post_date_time, dtype: object",10,No comments,No shares,https://facebook.com/APTouring/posts/270384728682996,
"58    APT
Name: brand, dtype: object","58    APTouring
Name: fb_handle, dtype: object",APT,Make the most of your freedom of choice options on a European River cruise and take a guided bike ride to the incredible Walhalla memorial.,"58    18/05/2023 20:00
Name: post_date_time, dtype: object",15,1 comment,No shares,https://facebook.com/APTouring/posts/269784465409689,
"59    APT
Name: brand, dtype: object","59    APTouring
Name: fb_handle, dtype: object",APT,Seeing Khati-Thanda Lake Eyre from above is simply magical but getting close to Australia's largest salt lake by walking over the dazzling salt flats will give you a whole new perspective. ,"59    17/05/2023 19:00
Name: post_date_time, dtype: object",10,2 comments,No shares,https://facebook.com/APTouring/posts/269258398795629,
"60    APT
Name: brand, dtype: object","60    APTouring
Name: fb_handle, dtype: object",APT,"Rediscover the natural purity of New Zealand on an APT Private Air Tour. Covering the majestic landscapes, cities, and alluring attractions of the North and South Islands.","60    16/05/2023 19:03
Name: post_date_time, dtype: object",12,No comments,No shares,https://facebook.com/APTouring/posts/268743925513743,
"61    APT
Name: brand, dtype: object","61    APTouring
Name: fb_handle, dtype: object",APT,"Like many European cities, Edinburgh is best explored by foot. Wander down the topsy-turvy alley ways, sample whiskey on the Royal Mile and explore the mighty castle , which offers magical views across the city.","61    15/05/2023 20:00
Name: post_date_time, dtype: object",739,27 comments,13 shares,https://facebook.com/APTouring/posts/268268752227927,
"62    APT
Name: brand, dtype: object","62    APTouring
Name: fb_handle, dtype: object",APT,Found amongst Australia's gorgeous Kimberley region is this beautiful natural amphitheatre. ,"62    14/05/2023 19:00
Name: post_date_time, dtype: object",51,23 comments,No shares,https://facebook.com/APTouring/posts/267631658958303,
"63    APT
Name: brand, dtype: object","63    APTouring
Name: fb_handle, dtype: object",APT,A #SignatureExperience through New Zealand's spectacular South Island High country. Get ready to witness awe-inspiring mountain top views. ,"63    12/05/2023 19:00
Name: post_date_time, dtype: object",23,No comments,3 shares,https://facebook.com/APTouring/posts/266500052404797,
"64    APT
Name: brand, dtype: object","64    APTouring
Name: fb_handle, dtype: object",APT,The Great Sphinx of Giza ,"64    11/05/2023 20:45
Name: post_date_time, dtype: object",24,No comments,No shares,https://facebook.com/APTouring/posts/266023872452415,
"65    APT
Name: brand, dtype: object","65    APTouring
Name: fb_handle, dtype: object",APT,"From the music to the food Spain's capital, Madrid comes to life after dark.","65    10/05/2023 20:40
Name: post_date_time, dtype: object",9,No comments,No shares,https://facebook.com/APTouring/posts/265506849170784,
"66    APT
Name: brand, dtype: object","66    APTouring
Name: fb_handle, dtype: object",APT,"After a day of exploration in the Kimberley wind down by the fire, toast marshmallows, tell stories and gaze up at the stars that light up the night sky. ","66    9/05/2023 19:20
Name: post_date_time, dtype: object",464,20 comments,12 shares,https://facebook.com/APTouring/posts/264966729224796,
"67    APT
Name: brand, dtype: object","67    APTouring
Name: fb_handle, dtype: object",APT,"Imagine yourself here... sat on the deck of a luxury yacht sipping your cocktail watching the afternoon sun fade away off the coast of Korcula, Croatia.","67    8/05/2023 19:10
Name: post_date_time, dtype: object",82,22 comments,2 shares,https://facebook.com/APTouring/posts/264349059286563,
"68    APT
Name: brand, dtype: object","68    APTouring
Name: fb_handle, dtype: object",APT,"Where in the world is this?Once a simple two-lane road that ran through the desert, and now an iconic display of bright lights. ","68    7/05/2023 18:35
Name: post_date_time, dtype: object",13,9 comments,No shares,https://facebook.com/APTouring/posts/263800809341388,
"69    APT
Name: brand, dtype: object","69    APTouring
Name: fb_handle, dtype: object",APT,"If your stay at Belmond Hotel das Cataratas wasn't already spectacular enough, the #signatureexperience that awaits will make your stay that extra special. ","69    5/05/2023 19:30
Name: post_date_time, dtype: object",17,No comments,No shares,https://facebook.com/APTouring/posts/262659796122156,
"70    APT
Name: brand, dtype: object","70    APTouring
Name: fb_handle, dtype: object",APT,The early bird catches the beautiful sunrises. ,"70    3/05/2023 20:05
Name: post_date_time, dtype: object",28,7 comments,No shares,https://facebook.com/APTouring/posts/261515509569918,
"71    APT
Name: brand, dtype: object","71    APTouring
Name: fb_handle, dtype: object",APT,The perfect end to a day of exploration in Western Australia's Kimberley. ,"71    1/05/2023 19:35
Name: post_date_time, dtype: object",964,27 comments,19 shares,https://facebook.com/APTouring/posts/260424356345700,
"72    APT
Name: brand, dtype: object","72    APTouring
Name: fb_handle, dtype: object",APT,APT Guest Janelle has shared with us some memories from her 2019 European river cruise.,"72    30/04/2023 20:33
Name: post_date_time, dtype: object",116,53 comments,No shares,https://facebook.com/APTouring/posts/259848176403318,
"73    APT
Name: brand, dtype: object","73    APTouring
Name: fb_handle, dtype: object",APT,"Explore how Japan's culture and cuisine pay homage to its traditions while embracing the new and the cutting-edge. Relish in gourmet rituals, authentic encounters and historic landmarks including immersive Naoshima, commonly known as Art Island.","73    29/04/2023 20:00
Name: post_date_time, dtype: object",7,No comments,No shares,https://facebook.com/APTouring/posts/259265053128297,
"74    APT
Name: brand, dtype: object","74    APTouring
Name: fb_handle, dtype: object",APT,This APT #signatureexperience will have you reaching for your camera from start to finish.,"74    28/04/2023 20:00
Name: post_date_time, dtype: object",17,No comments,No shares,https://facebook.com/APTouring/posts/258733566514779,
"75    APT
Name: brand, dtype: object","75    APTouring
Name: fb_handle, dtype: object",APT,"Dining at Michelin star restaurant Balwoo Gongyang, Seoul, will likely be one of the most remarkable meals of your life. Managed by a Buddhist nun from the Choe Gae Sa Temple across the street, the entire menu is refined temple food, meaning all the dishes are vegan and each ingredient has been specially selected to  enhance spirituality.  ","75    27/04/2023 20:00
Name: post_date_time, dtype: object",10,1 comment,No shares,https://facebook.com/APTouring/posts/258200733234729,
"76    APT
Name: brand, dtype: object","76    APTouring
Name: fb_handle, dtype: object",APT,"The perfect combination of cheese and corn. The inticing smell of Choclo con Queso - a perfectly cooked corn cobb, topped with butter and a delightfully salty and creamy soft cheese  fills the streets of Peru. This popular street food celebrates the regions spectacular corn varieties. ","76    26/04/2023 19:00
Name: post_date_time, dtype: object",9,No comments,3 shares,https://facebook.com/APTouring/posts/257667903288012,
"77    APT
Name: brand, dtype: object","77    APTouring
Name: fb_handle, dtype: object",APT,"When it comes to Seafood, fresh is best! And it doesn't get much fresher than walking into Coffin Bay to harvest, shuck and eat oysters straight from the ocean. ","77    25/04/2023 20:01
Name: post_date_time, dtype: object",20,No comments,No shares,https://facebook.com/APTouring/posts/257180496670086,
"78    APT
Name: brand, dtype: object","78    APTouring
Name: fb_handle, dtype: object",APT,Would you like to enjoy a taste of traditional food with modern flare whilst cosy inside your own private Tee Pee?A delightful 3-course meal followed by an evening of watching the northern lights shimmer in the night-sky is instore when visiting Yellowknife with APT. ,"78    24/04/2023 21:00
Name: post_date_time, dtype: object",29,2 comments,No shares,https://facebook.com/APTouring/posts/256693436718792,
